,Unnamed: 0,YEAR,period1,period,Location ,LocatHierachyNode,Level,Product,productcatogery,seasonality,WINTER ,SUMMER,FESTIVAL,sold units,TotalFactor,BaseVolume%,Seasonality %,TPR %,Display Only %,Fea & Disp%,Feature Only%,Base Volume,SeasonalVolume,TPR,Display Only,Fea & Disp,Feature Only,To2tFactoredVolume,TotFactoredVolume,MSRP,PRICE DISCOUNT %,PRICE DISCOUNT,Average unit price,total sales,date2,date,Season_Summer,Season_Winter,Feature Only_Grouped,Display Only_Grouped,Fea & Disp_Grouped
0,0,2017,1,W1,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Winter,1,0,0,980,1,0.725,-0.125,0.25,0.15,0,0,710.5,-122.5,245,147,0,0,980,Eaches,25,0.2,5,20,19600,02-01-2017,0,0,1,Equal to zero,Not Equal to zero,Equal to zero
1,1,2017,2,W2,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Winter,1,0,0,920,1,0.725,-0.125,0.25,0.15,0,0,667,-115,230,138,0,0,920,Eaches,25,0.2,5,20,18400,09-01-2017,0,0,1,Equal to zero,Not Equal to zero,Equal to zero
2,2,2017,3,W3,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Winter,1,0,0,900,1,0.725,-0.125,0.25,0.15,0,0,652.5,-112.5,225,135,0,0,900,Eaches,25,0.2,5,20,18000,16-01-2017,0,0,1,Equal to zero,Not Equal to zero,Equal to zero
3,3,2017,4,W4,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Winter,1,0,0,870,1,0.725,-0.125,0.25,0.15,0,0,630.75,-108.75,217.5,130.5,0,0,870,Eaches,25,0.2,5,20,17400,23-01-2017,0,0,1,Equal to zero,Not Equal to zero,Equal to zero
4,4,2017,5,W5,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,,0,0,0,900,1,0.8,0,0.2,0,0,0,720,0,180,0,0,0,900,Eaches,25,0.2,5,20,18000,30-01-2017,0,0,1,Equal to zero,Equal to zero,Equal to zero
5,5,2017,6,W6,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,,0,0,0,940,1,0.8,0,0.2,0,0,0,752,0,188,0,0,0,940,Eaches,25,0.2,5,20,18800,06-02-2017,0,0,1,Equal to zero,Equal to zero,Equal to zero
6,6,2017,7,W7,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,,0,0,0,900,1,0.85,0,0.15,0,0,0,765,0,135,0,0,0,900,Eaches,25,0.2,5,20,18000,13-02-2017,0,0,1,Equal to zero,Equal to zero,Equal to zero
7,7,2017,8,W8,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,,0,0,0,890,1,0.85,0,0.15,0,0,0,756.5,0,133.5,0,0,0,890,Eaches,25,0.2,5,20,17800,20-02-2017,0,0,1,Equal to zero,Equal to zero,Equal to zero
8,8,2017,9,W9,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,,0,0,0,1000,1,1,0,0,0,0,0,1000,0,0,0,0,0,1000,Eaches,25,0,0,25,25000,27-02-2017,0,0,1,Equal to zero,Equal to zero,Equal to zero
9,9,2017,10,W10,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,,0,0,0,980,1,1,0,0,0,0,0,980,0,0,0,0,0,980,Eaches,25,0,0,25,24500,06-03-2017,1,0,0,Equal to zero,Equal to zero,Equal to zero
10,10,2017,11,W11,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,,0,0,0,1120,1,1,0,0,0,0,0,1120,0,0,0,0,33.6,1153.6,Eaches,25,0,0,25,28000,13-03-2017,1,0,0,Not Equal to zero,Equal to zero,Equal to zero
11,11,2017,12,W12,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,,0,0,0,890,1,0.97,0,0,0,0,0.03,863.3,0,0,0,0,26.7,890,Eaches,25,0.2,5,20,17800,20-03-2017,1,0,0,Not Equal to zero,Equal to zero,Equal to zero
12,12,2017,13,W13,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,,0,0,0,956,1,0.92,0.05,0,0,0,0.03,879.52,47.8,0,0,0,47.8,975.12,Eaches,25,0.2,5,20,19120,27-03-2017,1,0,0,Not Equal to zero,Equal to zero,Equal to zero
13,13,2017,14,W14,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,,0,0,0,1100,1,0.9,0.05,0,0,0,0.05,990,55,0,0,0,121,1166,Eaches,25,0.2,5,20,22000,03-04-2017,1,0,0,Not Equal to zero,Equal to zero,Equal to zero
14,14,2017,15,W15,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,,0,0,0,1250,1,0.84,0.05,0,0,0,0.11,1050,62.5,0,0,0,0,1112.5,Eaches,25,0.2,5,20,25000,10-04-2017,1,0,0,Equal to zero,Equal to zero,Equal to zero
15,15,2017,16,W16,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Summer,0,1,0,1350,1,0.5,0.15,0.175,0,0.175,0,675,202.5,236.25,0,236.25,0,1350,Eaches,25,0.2,5,20,27000,17-04-2017,1,0,0,Equal to zero,Equal to zero,Not Equal to zero
16,16,2017,17,W17,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Summer,0,1,0,1250,1,0.5,0.15,0.175,0,0.175,0,625,187.5,218.75,0,218.75,0,1250,Eaches,25,0.2,5,20,25000,24-04-2017,1,0,0,Equal to zero,Equal to zero,Not Equal to zero
17,17,2017,18,W18,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Summer,0,1,0,1380,1,0.5,0.15,0.175,0,0.175,0,690,207,241.5,0,241.5,0,1380,Eaches,25,0.2,5,20,27600,01-05-2017,1,0,0,Equal to zero,Equal to zero,Not Equal to zero
18,18,2017,19,W19,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Summer,0,1,0,1400,1,0.5,0.15,0.175,0,0.175,0,700,210,245,0,245,0,1400,Eaches,25,0.33,8.25,20,28000,08-05-2017,1,0,0,Equal to zero,Equal to zero,Not Equal to zero
19,19,2017,20,W20,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Summer,0,1,0,1200,1,0.5,0.15,0.175,0,0.175,0,600,180,210,0,210,0,1200,Eaches,25,0.23,5.75,20,24000,15-05-2017,1,0,0,Equal to zero,Equal to zero,Not Equal to zero
20,20,2017,21,W21,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Summer,0,1,0,1350,1,0.5,0.15,0.175,0,0.175,0,675,202.5,236.25,0,236.25,0,1350,Eaches,25,0.2,5,20,27000,22-05-2017,1,0,0,Equal to zero,Equal to zero,Not Equal to zero
21,21,2017,22,W22,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Summer,0,1,0,1208,1,0.5,0.15,0.175,0,0.175,0,604,181.2,211.4,0,211.4,0,1208,Eaches,25,0.3,7.5,20,24160,29-05-2017,1,0,0,Equal to zero,Equal to zero,Not Equal to zero
22,22,2017,23,W23,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Summer,0,1,0,1436,1,0.5,0.15,0.175,0,0.175,0,718,215.4,251.3,0,251.3,0,1436,Eaches,25,0.24,6,20,28720,05-06-2017,0,1,0,Equal to zero,Equal to zero,Not Equal to zero
23,23,2017,24,W24,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Summer,0,1,0,1560,1,0.5,0.15,0.175,0,0.175,0,780,234,273,0,273,0,1560,Eaches,25,0.23,5.75,20,31200,12-06-2017,0,1,0,Equal to zero,Equal to zero,Not Equal to zero
24,24,2017,25,W25,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Summer,0,1,0,1622,1,0.5,0.15,0.175,0,0.175,0,811,243.3,283.85,0,283.85,0,1622,Eaches,25,0.22,5.5,20,32440,19-06-2017,0,1,0,Equal to zero,Equal to zero,Not Equal to zero
25,25,2017,26,W26,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Summer,0,1,0,1569,1,0.5,0.175,0.175,0.15,0,0,784.5,274.575,274.575,235.35,0,0,1569,Eaches,25,0.17,4.25,20,31380,26-06-2017,0,1,0,Equal to zero,Not Equal to zero,Equal to zero
26,26,2017,27,W27,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Summer,0,1,0,1390,1,0.5,0.175,0.175,0.15,0,0,695,243.25,243.25,208.5,0,0,1390,Eaches,25,0.26,6.5,20,27800,03-07-2017,0,1,0,Equal to zero,Not Equal to zero,Equal to zero
27,27,2017,28,W28,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Summer,0,1,0,1300,1,0.5,0.175,0.175,0.15,0,0,650,227.5,227.5,195,0,0,1300,Eaches,25,0.33,8.25,20,26000,10-07-2017,0,1,0,Equal to zero,Not Equal to zero,Equal to zero
28,28,2017,29,W29,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Summer,0,1,0,1350,1,0.5,0.175,0.175,0.15,0,0,675,236.25,236.25,202.5,0,0,1350,Eaches,25,0.24,6,20,27000,17-07-2017,0,1,0,Equal to zero,Not Equal to zero,Equal to zero
29,29,2017,30,W30,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,,0,0,0,1250,1,0.75,0.125,0,0.125,0,0,937.5,156.25,0,156.25,0,0,1250,Eaches,25,0.2,5,20,25000,24-07-2017,0,1,0,Equal to zero,Not Equal to zero,Equal to zero
30,30,2017,31,W31,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,,0,0,0,1300,1,0.78,0.095,0,0.125,0,0,1014,123.5,0,162.5,0,0,1300,Eaches,25,0.2,5,10,13000,31-07-2017,0,1,0,Equal to zero,Not Equal to zero,Equal to zero
31,31,2017,32,W32,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,,0,0,0,1220,1,0.85,0.08,0,0.07,0,0,1037,97.6,0,85.4,0,0,1220,Eaches,25,0.2,5,15,18300,07-08-2017,0,1,0,Equal to zero,Not Equal to zero,Equal to zero
32,32,2017,33,W33,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,,0,0,0,1100,1,0.875,0.075,0,0.05,0,0,962.5,82.5,0,55,0,0,1100,Eaches,25,0.2,5,100,110000,14-08-2017,0,1,0,Equal to zero,Not Equal to zero,Equal to zero
33,33,2017,34,W34,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,,0,0,0,1000,1,0.875,0.075,0,0.05,0,0,875,75,0,50,0,0,1000,Eaches,25,0.2,5,10,10000,21-08-2017,0,1,0,Equal to zero,Not Equal to zero,Equal to zero
34,34,2017,35,W35,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,,0,0,0,900,1,0.875,0.075,0,0.05,0,0,787.5,67.5,0,45,0,0,900,Eaches,25,0.33,8.25,10,9000,28-08-2017,0,1,0,Equal to zero,Not Equal to zero,Equal to zero
35,35,2017,36,W36,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Festival,0,0,1,1100,1,0.75,0,0.075,0,0.175,0,825,0,82.5,0,192.5,0,1100,Eaches,25,0.23,5.75,15,16500,04-09-2017,0,0,0,Equal to zero,Equal to zero,Not Equal to zero
36,36,2017,37,W37,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Festival,0,0,1,1050,1,0.75,0,0.075,0,0.175,0,787.5,0,78.75,0,183.75,0,1050,Eaches,25,0.2,5,100,105000,11-09-2017,0,0,0,Equal to zero,Equal to zero,Not Equal to zero
37,37,2017,38,W38,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Festival,0,0,1,1000,1,0.75,0,0.075,0,0.175,0,750,0,75,0,175,0,1000,Eaches,25,0.3,7.5,10,10000,18-09-2017,0,0,0,Equal to zero,Equal to zero,Not Equal to zero
38,38,2017,39,W39,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Festival,0,0,1,990,1,0.75,0,0.075,0,0.175,0,742.5,0,74.25,0,173.25,0,990,Eaches,25,0.24,6,10,9900,25-09-2017,0,0,0,Equal to zero,Equal to zero,Not Equal to zero
39,39,2017,40,W40,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Festival,0,0,1,1200,1,0.75,0,0.075,0,0.175,0,900,0,90,0,210,0,1200,Eaches,25,0.2,5,15,18000,02-10-2017,0,0,0,Equal to zero,Equal to zero,Not Equal to zero
40,40,2017,41,W41,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Festival,0,0,1,1110,1,0.75,0,0.075,0,0.175,0,832.5,0,83.25,0,194.25,33.3,1143.3,Eaches,25,0.2,5,100,111000,09-10-2017,0,0,0,Not Equal to zero,Equal to zero,Not Equal to zero
41,41,2017,42,W42,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,,0,0,0,1040,1,0.97,0,0.03,0,0,0.03,1008.8,0,31.2,0,0,31.2,1071.2,Eaches,25,0.2,5,10,10400,16-10-2017,0,0,0,Not Equal to zero,Equal to zero,Equal to zero
42,42,2017,43,W43,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,,0,0,0,1001,1,0.92,0.05,0.03,0,0,0.03,920.92,50.05,30.03,0,0,150.15,1151.15,Eaches,25,0.2,5,15,15015,23-10-2017,0,0,0,Not Equal to zero,Equal to zero,Equal to zero
43,43,2017,44,W44,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,,0,0,0,980,1,0.92,0.05,0.03,0,0,0.15,901.6,49,29.4,0,0,107.8,1087.8,Eaches,25,0.2,5,10,9800,30-10-2017,0,0,0,Not Equal to zero,Equal to zero,Equal to zero
44,44,2017,45,W45,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Winter,1,0,0,900,1,0.92,0.05,0.03,0,0,0.11,828,45,27,0,0,0,900,Eaches,25,0.2,5,100,90000,06-11-2017,0,0,0,Equal to zero,Equal to zero,Equal to zero
45,45,2017,46,W46,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Winter,1,0,0,750,1,0.7,-0.1,0.25,0,0.15,0,525,-75,187.5,0,112.5,0,750,Eaches,25,0.33,8.25,10,7500,13-11-2017,0,0,0,Equal to zero,Equal to zero,Not Equal to zero
46,46,2017,47,W47,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Winter,1,0,0,750,1,0.7,-0.1,0.25,0,0.15,0,525,-75,187.5,0,112.5,0,750,Eaches,25,0.23,5.75,15,11250,20-11-2017,0,0,0,Equal to zero,Equal to zero,Not Equal to zero
47,47,2017,48,W48,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Winter,1,0,0,1000,1,0.7,-0.1,0.25,0,0.15,0,700,-100,250,0,150,0,1000,Eaches,25,0.2,5,10,10000,27-11-2017,0,0,0,Equal to zero,Equal to zero,Not Equal to zero
48,48,2017,49,W49,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Winter,1,0,0,891,1,0.725,-0.125,0.25,0,0.15,0,645.975,-111.375,222.75,0,133.65,0,891,Eaches,25,0.3,7.5,100,89100,04-12-2017,0,0,1,Equal to zero,Equal to zero,Not Equal to zero
49,49,2017,50,W50,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Winter,1,0,0,771,1,0.725,-0.125,0.25,0,0.15,0,558.975,-96.375,192.75,0,115.65,0,771,Eaches,25,0.24,6,10,7710,11-12-2017,0,0,1,Equal to zero,Equal to zero,Not Equal to zero
50,50,2017,51,W51,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Winter,1,0,0,700,1,0.725,-0.125,0.25,0,0.15,0,507.5,-87.5,175,0,105,0,700,Eaches,25,0.23,5.75,15,10500,18-12-2017,0,0,1,Equal to zero,Equal to zero,Not Equal to zero
51,51,2017,52,W52,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Winter,1,0,0,981,1,0.75,-0.1,0.24,0,0.11,0,735.75,-98.1,235.44,0,107.91,0,981,Eaches,25,0.22,5.5,10,9810,25-12-2017,0,0,1,Equal to zero,Equal to zero,Not Equal to zero
52,52,2018,1,W1,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Winter,1,0,0,980,1,0.725,-0.125,0.25,0.15,0,0,710.5,-122.5,245,147,0,0,980,Eaches,25,0.17,4.25,10,9800,01-01-2018,0,0,1,Equal to zero,Not Equal to zero,Equal to zero
53,53,2018,2,W2,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Winter,1,0,0,900,1,0.725,-0.125,0.25,0.15,0,0,652.5,-112.5,225,135,0,0,900,Eaches,25,0.26,6.5,10,9000,08-01-2018,0,0,1,Equal to zero,Not Equal to zero,Equal to zero
54,54,2018,3,W3,Banjara hills,Hyderabad,1,100 ML Butterscotch,Cups,Winter,1,0,0,817,1,0.725,-0.125,0.25,0.15,0,0,592.325,-102.125,204.25,122.55,0,0,817,Eaches,25,0.33,8.25,10,8170,15-01-2018,0,0,1,Equal to zero,Not Equal to zero,Equal to zero
